Price,Built_Up,Furnishing,Tenure,carpark,classification
1990000,2022,Fully Furnished,Freehold,1,1
174000,680,Fully Furnished,Freehold,1,1
220000,850,Unfurnished,Leasehold,1,1
310000,800,Unfurnished,Freehold,2,1
395000,840,Semi Furnished,Freehold,2,1
1130000,1300,Fully Furnished,Freehold,2,0
690000,1173,Semi Furnished,Freehold,1,1
255000,925,Semi Furnished,Freehold,1,1
325000,786,Unfurnished,Freehold,1,1
1550000,1635,Fully Furnished,Freehold,1,1
350000,930,Unfurnished,Leasehold,1,1
72000,269,Fully Furnished,Freehold,1,1
315000,950,Semi Furnished,Freehold,1,1
522000,732,Semi Furnished,Freehold,1,0
595000,1800,Semi Furnished,Freehold,2,1
525000,1320,Semi Furnished,Freehold,1,1
950000,1680,Unfurnished,Freehold,2,1
350000,732,Fully Furnished,Freehold,1,0
500000,1387,Semi Furnished,Freehold,2,1
370000,723,Semi Furnished,Freehold,1,1
970000,2560,Semi Furnished,Freehold,2,1
480000,1200,Unfurnished,Leasehold,2,1
530000,1350,Semi Furnished,Freehold,2,1
255000,813,Unfurnished,Freehold,1,1
260000,870,Unfurnished,Freehold,1,1
750000,1810,Unfurnished,Freehold,2,1
190000,900,Unfurnished,Freehold,1,1
450000,1450,Semi Furnished,Freehold,2,1
265000,1100,Unfurnished,Freehold,2,1
610000,2800,Semi Furnished,Freehold,2,0
685000,2050,Unfurnished,Freehold,2,1
720000,1196,Semi Furnished,Freehold,1,1
538000,1346,Unfurnished,Leasehold,1,0
155000,800,Semi Furnished,Freehold,1,1
430000,1062,Semi Furnished,Freehold,1,1
639000,1746,Unfurnished,Freehold,2,1
265000,850,Unfurnished,Freehold,1,1
638000,1138,Semi Furnished,Freehold,1,1
555000,900,Semi Furnished,Freehold,1,1
1000000,1420,Semi Furnished,Freehold,1,1
490000,1170,Semi Furnished,Freehold,2,1
395000,1294,Fully Furnished,Freehold,1,1
510000,1206,Semi Furnished,Freehold,1,1
980000,2100,Semi Furnished,Freehold,2,1
690000,1325,Fully Furnished,Freehold,1,1
80000,550,Unfurnished,Leasehold,1,1
520000,1400,Unfurnished,Freehold,2,1
438000,1205,Unfurnished,Freehold,1,1
519900,1279,Fully Furnished,Freehold,1,1
528000,1326,Semi Furnished,Freehold,1,0
610000,2050,Semi Furnished,Freehold,2,0
1050000,800,Fully Furnished,Freehold,1,0
670000,1600,Semi Furnished,Freehold,2,1
740000,4400,Unfurnished,Freehold,2,1
238000,650,Semi Furnished,Freehold,1,1
340000,1008,Semi Furnished,Freehold,1,1
399000,1000,Semi Furnished,Freehold,2,1
165000,517,Unfurnished,Freehold,1,1
950000,1900,Unfurnished,Freehold,2,1
470000,1170,Semi Furnished,Freehold,2,1
1400000,1200,Fully Furnished,Freehold,1,1
510000,1272,Semi Furnished,Freehold,1,1
370000,1000,Unfurnished,Leasehold,2,1
306000,886,Unfurnished,Freehold,2,1
740000,1760,Unfurnished,Freehold,2,1
338000,2141,Unfurnished,Freehold,2,1
329800,689,Unfurnished,Freehold,1,1
300000,1400,Semi Furnished,Freehold,2,1
480000,1800,Semi Furnished,Freehold,2,1
300000,1500,Unfurnished,Leasehold,2,1
450000,775,Fully Furnished,Freehold,1,1
658000,1400,Semi Furnished,Freehold,2,1
600000,947,Fully Furnished,Freehold,1,1
830000,1227,Fully Furnished,Freehold,1,1
350000,1001,Semi Furnished,Freehold,1,1
1050000,1450,Fully Furnished,Freehold,1,0
448634,1283,Unfurnished,Freehold,2,1
650000,1315,Semi Furnished,Freehold,1,0
708000,2600,Semi Furnished,Freehold,2,1
1230000,1200,Fully Furnished,Freehold,1,1
530000,1165,Semi Furnished,Freehold,1,1
930000,1500,Fully Furnished,Leasehold,1,1
600000,2215,Semi Furnished,Freehold,2,1
680000,1247,Unfurnished,Freehold,2,1
380000,877,Semi Furnished,Freehold,1,1
525000,1200,Unfurnished,Freehold,1,1
1050000,1450,Fully Furnished,Freehold,1,0
255000,950,Unfurnished,Freehold,1,0
1099000,2056,Semi Furnished,Freehold,2,1
570000,1500,Semi Furnished,Freehold,2,1
778800,708,Fully Furnished,Freehold,1,1
1050000,2500,Semi Furnished,Freehold,2,1
1780000,5000,Semi Furnished,Freehold,0,1
545000,1800,Semi Furnished,Freehold,2,1
290000,915,Semi Furnished,Freehold,1,1
100000,650,Unfurnished,Freehold,1,1
1750000,1600,Semi Furnished,Freehold,2,1
500000,1800,Semi Furnished,Freehold,2,1
350000,800,Fully Furnished,Leasehold,0,1
620000,2116,Unfurnished,Freehold,2,1
585000,1575,Semi Furnished,Freehold,2,1
359000,2000,Unfurnished,Leasehold,2,1
830000,643,Fully Furnished,Freehold,1,1
405000,1097,Semi Furnished,Freehold,1,1
639000,1600,Semi Furnished,Freehold,1,1
455000,943,Fully Furnished,Leasehold,1,1
1290000,6000,Unfurnished,Freehold,0,1
619999,1196,Semi Furnished,Freehold,1,1
450000,1007,Semi Furnished,Freehold,1,1
955000,1569,Semi Furnished,Freehold,1,1
890000,2100,Semi Furnished,Freehold,2,1
655900,1059,Semi Furnished,Freehold,1,1
575000,1800,Semi Furnished,Freehold,2,1
485000,1400,Semi Furnished,Freehold,2,1
500000,1016,Unfurnished,Freehold,1,1
740000,1168,Unfurnished,Freehold,1,1
330000,971,Unfurnished,Freehold,1,1
200000,850,Semi Furnished,Freehold,1,1
1250000,3500,Semi Furnished,Freehold,2,1
600000,3000,Unfurnished,Leasehold,2,1
265000,1540,Unfurnished,Freehold,2,1
