Price,Tenure,Property_Type,Built_Up,Furnishing,Bedroom,Bathroom,Area,classification
500000,0,6,1730,1,4,3,13,0
1100000,0,9,2100,1,3,3,14,0
290000,0,3,875,1,3,2,13,1
270000,1,6,1016,2,3,2,13,0
680000,0,12,2000,1,4,2,13,0
215000,0,3,673,2,3,2,13,0
142000,0,3,655,1,3,2,14,0
530000,0,6,1520,2,4,3,13,0
195000,0,3,680,1,3,2,13,0
380000,0,6,1400,1,3,2,13,1
260000,0,3,680,0,3,1,10,0
720000,0,9,1208,0,3,2,14,0
935000,0,9,1342,2,3,2,13,1
450000,0,6,1754,2,4,3,13,0
380000,0,9,928,1,3,2,14,0
350000,0,9,900,1,3,2,13,0
470000,0,9,775,1,2,2,14,0
490000,0,9,1313,2,4,2,14,0
330000,0,3,855,1,3,2,13,0
580000,0,6,2143,2,4,3,13,0
1300000,0,4,781,0,2,2,14,0
320000,0,3,970,1,3,2,14,0
890000,0,6,2890,1,4,3,14,0
1250000,0,9,1385,0,3,2,13,0
688000,0,9,968,0,3,2,13,0
725000,0,9,1173,2,3,2,13,0
545000,0,6,1400,2,4,3,13,0
190000,0,3,850,1,3,2,13,0
675000,0,6,1570,0,4,3,14,0
563888,0,6,2766,2,5,4,9,0
460000,0,9,887,0,3,2,10,0
