Price,Built_Up,Furnishing,Tenure,carpark,classification
920000,1580,2,0,1,1
820000,2342,2,0,2,1
1250000,1900,1,0,1,1
420000,1098,0,0,1,1
650000,1021,1,0,1,1
360000,1686,2,0,2,1
688000,2028,2,0,2,1
980000,2200,1,0,2,1
1300000,3400,1,0,2,1
208000,850,1,0,1,1
330000,890,1,0,1,1
868000,2000,1,0,2,1
700000,1000,2,0,2,1
438000,1440,1,0,2,1
350000,1300,2,0,2,1
900000,2050,1,0,2,1
250000,500,0,0,1,1
1500000,3375,1,0,2,1
867000,1088,1,0,1,1
750000,2863,2,0,2,1
950000,2000,1,1,2,1
575000,1170,2,0,2,1
529000,1520,1,1,2,1
580000,1650,2,1,2,1
750000,2820,1,0,2,1
1100000,2972,1,0,2,1
446000,878,1,0,1,1
1300000,1389,1,0,1,1
415000,1000,0,0,1,1
550000,1300,1,0,2,1
275000,814,1,0,1,1
435000,1120,1,0,1,1
830000,643,0,0,1,1
895000,1100,0,0,1,1
568000,2250,1,0,2,1
520000,1286,0,0,1,1
260000,528,1,0,1,1
695000,1245,1,0,1,1
450000,1100,2,0,2,1
245000,860,2,0,1,1
530000,1677,1,1,2,1
550000,2600,0,0,2,1
1300000,1215,1,0,1,1
400000,1650,1,0,2,1
850000,2000,1,0,2,1
360000,823,2,0,1,1
395000,604,2,0,1,1
425000,1400,1,1,2,1
1210000,1365,1,0,1,1
400000,581,2,1,1,1
363200,851,2,0,1,1
995000,2000,2,0,2,1
610000,865,1,0,1,1
410000,1000,1,0,2,1
720000,2115,2,1,2,1
550000,1398,1,0,1,1
610000,2143,1,0,2,1
560000,1496,2,0,2,1
370000,1070,1,0,1,1
620000,1600,1,0,2,1
445000,1313,0,0,1,1
690000,909,0,0,1,1
450000,915,0,0,1,0
824000,1800,1,0,2,1
280000,1000,2,0,2,1
299000,1012,1,0,1,1
650000,660,0,0,1,1
295000,810,1,0,2,1
550000,1000,0,0,1,1
1055550,1765,2,0,1,1
250000,1117,2,0,1,1
270000,750,2,0,1,1
1450000,3500,1,0,3,1
599000,1840,0,0,2,1
1320000,1087,1,0,1,1
390600,1200,2,0,2,1
670000,2500,2,0,2,1
347000,830,2,1,1,1
340000,2415,2,0,2,1
510000,2000,1,0,2,1
285000,750,0,0,1,1
210000,1517,2,0,2,1
1067000,836,1,0,1,1
750000,1250,0,0,1,1
750000,2400,2,0,2,1
590000,950,0,0,1,1
460000,1320,2,0,2,1
350000,861,2,1,2,1
378888,704,2,0,1,1
125000,650,2,0,1,1
710000,1165,1,0,1,1
268000,1076,2,0,1,0
450000,1080,0,0,1,1
480000,883,0,0,1,1
450000,1600,1,0,1,1
270000,600,2,0,1,1
488000,1760,1,0,2,1
130000,690,1,0,1,1
425000,1238,1,0,1,1
1200000,2640,1,0,2,1
650000,985,0,0,1,1
1300000,3060,2,0,2,1
1000000,1150,1,0,1,0
800000,1245,0,0,1,1
420000,906,2,1,1,1
280000,850,2,0,1,1
480000,928,1,1,1,1
370000,865,2,1,1,1
680000,1647,1,0,2,1
690000,2625,0,0,2,1
350000,1062,1,0,1,1
350000,1070,1,0,1,1
290000,802,1,0,1,1
850000,1184,1,1,1,1
1150000,1760,2,0,2,1
410000,1760,1,0,2,1
70000,650,2,0,1,1
540000,1440,2,0,2,1
320000,1800,1,0,2,1
330000,877,2,1,1,1
350000,1300,1,0,2,1
251000,450,0,0,1,1
955000,1650,0,0,2,1
335000,807,1,0,1,1
245000,750,2,0,1,1
750000,1520,0,0,1,1
298000,1040,2,0,1,1
1050000,1450,0,0,1,0
1050000,903,1,0,1,1
430000,589,0,0,1,1
680000,1122,0,0,1,1
528000,1640,2,0,2,1
990000,2062,1,0,2,1
490000,1980,2,0,2,1
405000,1638,1,0,1,0
635000,1300,1,0,2,1
400000,1052,2,0,1,1
550000,1917,2,0,2,1
390000,1380,1,0,2,1
1000000,1076,1,0,1,1
250000,650,1,0,1,1
400000,1062,1,0,2,1
445000,1333,2,0,1,0
930000,1500,0,1,1,1
685000,2090,1,0,2,1
1050000,1450,0,0,1,0
440000,948,2,0,1,1
380000,1400,1,1,2,1
1050000,1450,0,0,1,0
199000,735,1,0,1,1
350000,1095,1,0,1,1
290000,850,1,0,1,1
1050000,777,0,0,1,0
575000,1900,1,0,2,1
300000,872,1,0,1,0
600000,1192,1,0,1,0
420000,1500,2,0,1,1
620000,1700,0,0,2,1
1100000,2800,1,0,2,1
210000,712,0,0,1,1
280000,850,2,0,1,1
780000,1500,0,0,1,1
360000,1200,2,0,1,1
115000,708,2,0,1,1
343800,1615,2,0,2,1
280000,818,0,1,1,1
525000,1751,2,0,2,1
705800,1483,2,0,1,1
255000,700,2,0,1,1
850000,1569,1,0,1,1
950000,1700,1,0,2,1
340000,1101,1,0,1,1
390000,998,1,0,1,1
250000,980,2,0,2,1
1080000,1205,1,0,1,1
1600000,1603,1,0,1,1
590000,1998,2,0,2,1
339000,807,2,0,1,1
475000,1650,2,0,2,1
790000,1300,1,1,2,1
380000,850,0,0,1,1
792000,1451,0,0,1,1
630000,1257,0,0,1,1
950000,2200,1,0,2,1
270000,815,2,0,1,1
500000,1019,2,0,1,1
